R,G,B
101.2780799,100.6554269,78.08673656
85.62416836,86.79346809,75.57312099
97.08150295,118.5413161,121.2458307
130.8913047,143.2858314,144.2670405
101.2613188,123.19954,105.5527583
91.23822693,94.34150058,76.04749742
90.36370214,100.9058697,88.13354297
77.36786394,86.61836611,75.73416852
89.9836875,103.6077748,71.69211894
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
118.8931464,116.3155106,105.2116336
121.9948608,129.384677,97.72831665
111.9045816,112.2426825,102.5360637
108.9305212,110.5407439,94.81784404
93.31686697,92.42704304,83.27262319
104.5436322,104.4174871,100.1520579
105.3371171,122.8814282,73.94733171
102.6151919,117.9030855,114.2700886
100.8717368,118.3887189,126.7047957
82.42837509,84.09995081,74.49641224
106.0603163,112.2214251,92.94868581
136.959657,139.9438074,136.6940285
114.2562125,117.1378674,118.0424804
100.5554821,106.3290689,92.33264165
97.9735431,110.9292833,82.1129972
103.3124348,121.2084032,138.1425006
117.2354893,126.7973101,95.51696256
111.4051841,124.6880179,131.7002721
93.47128909,102.5078975,79.38101416
120.6934735,132.9558519,123.9124347
134.8276415,125.509961,109.2622631
115.1675432,108.4431554,96.52613661
149.8861143,149.4969113,118.1460478
136.4999348,120.9968429,88.05773993
126.5094182,119.6309779,102.2782546
119.2047346,131.7446042,146.2227145
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
118.8931464,116.3155106,105.2116336
121.9948608,129.384677,97.72831665
111.9045816,112.2426825,102.5360637
108.9305212,110.5407439,94.81784404
93.31686697,92.42704304,83.27262319
104.5436322,104.4174871,100.1520579
105.3371171,122.8814282,73.94733171
102.6151919,117.9030855,114.2700886
100.8717368,118.3887189,126.7047957
82.42837509,84.09995081,74.49641224
106.0603163,112.2214251,92.94868581
136.959657,139.9438074,136.6940285
114.2562125,117.1378674,118.0424804
100.5554821,106.3290689,92.33264165
97.9735431,110.9292833,82.1129972
103.3124348,121.2084032,138.1425006
117.2354893,126.7973101,95.51696256
111.4051841,124.6880179,131.7002721
93.47128909,102.5078975,79.38101416
